ticker,name,city,isin,status
BTCIM,BATIÇİM BATI ANADOLU SANAYİ VE TİCARET A.Ş.,İZMİR,TRABTCIM91F5,STOCK
BUCIM,BURSA ÇİMENTO FABRİKASI A.Ş.,BURSA,TRABUCIM91F3,STOCK
BULGS,BULLS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREBULS00012,STOCK
BUR,BURGAN BANK A.Ş.,İSTANBUL,,UNRESOLVED
BURCE,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,BURSA,TRABURCE91G9,STOCK
BURVA,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,BURSA,TREBRVN00018,STOCK
BVSAN,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,ANKARA,TREBVSB00011,STOCK
BYDNR,BAYDÖNER RESTORANLARI A.Ş.,İZMİR,TREBYDN00012,STOCK
CAGFA,ÇAĞDAŞ FAKTORİNG A.Ş.,İSTANBUL,,NON_EQUITY
CANTE,ÇAN2 TERMİK A.Ş.,İSTANBUL,TRECAN200011,STOCK
CASA,CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREKRSS00014,STOCK
CATES,ÇATES ELEKTRİK ÜRETİM A.Ş.,ZONGULDAK,TRECATS00015,STOCK
CCOLA,COCA-COLA İÇECEK A.Ş.,İSTANBUL,TRECOLA00011,STOCK
CELHA,ÇELİK HALAT VE TEL SANAYİİ A.Ş.,KOCAELİ,TRACELHA91G1,STOCK
CEMAS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.,KIRŞEHİR,TRECMAS00010,STOCK
CEMTS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,BURSA,TRACEMTS91G6,STOCK
CEMZY,CEM ZEYTİN A.Ş.,İZMİR,TRECEMZ00017,STOCK
CEOEM,CEO EVENT MEDYA A.Ş.,İSTANBUL,TRECEOM00011,STOCK
CGCAM,ÇAĞDAŞ CAM SANAYİ VE TİCARET A.Ş.,AYDIN,TRECGDC00010,STOCK
CIMSA,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRACIMSA91F9,STOCK
CLEBI,ÇELEBİ HAVA SERVİSİ A.Ş.,İSTANBUL,TRACLEBI91M5,STOCK
CLKMT,ÇELİK MOTOR TİCARET A.Ş.,İSTANBUL,,UNRESOLVED
CMBTN,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,İZMİR,TRACMBTN91F5,STOCK
CMENT,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,İZMİR,TRACMENT91F9,STOCK
CMSAN,ÇAMSAN ENTEGRE AĞAÇ SANAYİ VE TİCARET A.Ş.,İSTANBUL,,UNRESOLVED
CONSE,CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,İSTANBUL,TRECONS00019,STOCK
COSMO,COSMOS YATIRIM HOLDİNG A.Ş.,İSTANBUL,TRABUMYO91Q2,STOCK
CRDFA,CREDITWEST FAKTORİNG A.Ş.,İSTANBUL,TRATPFAC91P5,STOCK
CRFSA,CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,İSTANBUL,TRECARF00032,STOCK
CUSAN,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,İSTANBUL,TRECUHA00016,STOCK
CVKMD,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRECVKM00021,STOCK
CWENE,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,ANTALYA,TRECWEN00012,STOCK
DAGI,DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREDAGI00011,STOCK
DAPGM,DAP GAYRİMENKUL GELİŞTİRME A.Ş.,İSTANBUL,TREDAPG00032,STOCK
DARDL,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,ÇANAKKALE,TRADARDL91A3,STOCK
DCTTR,DCT TRADİNG DIŞ TİCARET A.Ş.,İSTANBUL,TREDCTT00025,STOCK
DENFA,DENİZ FAKTORİNG A.Ş.,İSTANBUL,,NON_EQUITY
DENGE,DENGE YATIRIM HOLDİNG A.Ş.,İSTANBUL,TREDNGH00016,STOCK
DENVA,DENGE VARLIK YÖNETİM A.Ş.,İSTANBUL,,NON_EQUITY
DERHL,DERLÜKS YATIRIM HOLDİNG A.Ş.,İSTANBUL,TREDDST00017,STOCK
DERIM,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,TEKİRDAĞ,TRADERIM91B0,STOCK
DESA,DESA DERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREDESA00015,STOCK
DESPC,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,İSTANBUL,TREDSPC00017,STOCK
DEVA,DEVA HOLDİNG A.Ş.,İSTANBUL,TRADEVAW91E2,STOCK
DFKTR,DORUK FAKTORİNG A.Ş.,İSTANBUL,,NON_EQUITY
DGATE,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,İSTANBUL,TREDGTE00010,STOCK
DGGYO,DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TRAOSGYO91Q1,STOCK
DGNMO,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRAKLBMO91C0,STOCK
DGRVK,DEĞER VARLIK KİRALAMA A.Ş.,İSTANBUL,,NON_EQUITY
DIMES,DİMES GIDA SANAYİ VE TİCARET A.Ş.,TOKAT,,UNRESOLVED
DIRIT,DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,ISPARTA,TREDRTK00014,STOCK
DITAS,DİTAŞ BDY YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,NİĞDE,TRADITAS91H8,STOCK
DKVRL,DK VARLIK KİRALAMA A.Ş.,İSTANBUL,,NON_EQUITY
DMD,DESTEK YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,,NON_EQUITY
