ticker,name,city,isin
EGPRO,EGE PROFİL TİCARET VE SANAYİ A.Ş.,İZMİR,TRAEGPRO91E8
EGSER,EGE SERAMİK SANAYİ VE TİCARET A.Ş.,İZMİR,TRAEGSER91F0
EKDMR,EKİNCİLER DEMİR VE ÇELİK SANAYİ A.Ş.,İSTANBUL,TREEKNC00025
EKGYO,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREEGYO00017
EKIZ,EKİZ KİMYA SANAYİ VE TİCARET A.Ş.,İZMİR,TREEKIZ00018
EKOS,EKOS TEKNOLOJİ VE ELEKTRİK A.Ş.,BALIKESİR,TREEKOS00011
EKSUN,EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREEKSN00021
ELITE,ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,ANKARA,TREELIT00019
EMKEL,EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.,ANKARA,TRAEMKEL91L6
EMNIS,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.,KOCAELİ,TRAEMNIS91E1
EMPAE,EMPA ELEKTRONİK SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREEMPA00012
ENDAE,ENDA ENERJİ HOLDİNG A.Ş.,İZMİR,TREENDA00016
ENERY,ENERYA ENERJİ A.Ş.,İSTANBUL,TREENRY00016
ENJSA,ENERJİSA ENERJİ A.Ş.,İSTANBUL,TREENSA00014
ENKAI,ENKA İNŞAAT VE SANAYİ A.Ş.,İSTANBUL,TREENKA00011
ENPRA,ENPARA BANK A.Ş.,İSTANBUL,TREENPR00014
ENSRI,ENSARİ SINAİ YATIRIMLAR A.Ş.,İSTANBUL,TREENSR00026
ENTRA,IC ENTERRA YENİLENEBİLİR ENERJİ A.Ş.,ANKARA,TREICNT00027
EPLAS,EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.,İZMİR,TRAEPLAS91E5
ERBOS,ERBOSAN ERCİYAS BORU SANAYİ VE TİCARET A.Ş.,KAYSERİ,TRAERBOS91G8
ERCB,ERCİYAS ÇELİK BORU SANAYİ A.Ş.,İSTANBUL,TREERCY00027
EREGL,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,İSTANBUL,TRAEREGL91G3
ERSU,ERSU MEYVE VE GIDA SANAYİ A.Ş.,ANKARA,TRAERSUW91A4
ESCAR,ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.,İSTANBUL,TREESCR00029
ESCOM,ESCORT TEKNOLOJİ YATIRIM A.Ş.,İSTANBUL,TRAESCOM91U8
ESEN,ESENBOĞA ELEKTRİK ÜRETİM A.Ş.,ANKARA,TREESEN00024
ETILR,ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREEIBG00017
ETYAT,EURO TREND YATIRIM ORTAKLIĞI A.Ş.,ANKARA,TREEUTY00017
EUHOL,EURO YATIRIM HOLDİNG A.Ş.,İSTANBUL,TREEUYM00012
EUKYO,EURO KAPİTAL YATIRIM ORTAKLIĞI A.Ş.,ANKARA,TREEKYO00019
EUPWR,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.,ANKARA,TREEUPW00019
EUREN,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.,ESKİŞEHİR,TREEURN00030
EUYO,EURO MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.,ANKARA,TREEURY00011
EYGYO,EYG GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREEYGG00021
FADE,FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.,İZMİR,TREFADE00012
FENER,FENERBAHÇE FUTBOL A.Ş.,İSTANBUL,TREFBAH00019
FLAP,FLAP KONGRE TOPLANTI HİZMETLERİ OTOMOTİV VE TURİZM A.Ş.,ANKARA,TREFLAP00011
FMIZP,FEDERAL MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.,KOCAELİ,TRAISTMP91H7
FONET,FONET BİLGİ TEKNOLOJİLERİ A.Ş.,ANKARA,TREFONT00010
FORMT,FORMET METAL VE CAM SANAYİ A.Ş.,KAYSERİ,TREFRMT00015
FORTE,FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş.,ANKARA,TREFRTE00012
FRIGO,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL,TRAFRIGO91A8
FRMPL,FORMÜL PLASTİK VE METAL SANAYİ A.Ş.,İSTANBUL,TREFRML00012
FROTO,FORD OTOMOTİV SANAYİ A.Ş.,İSTANBUL,TRAOTOSN91H6
FZLGY,FUZUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREFUZL00026
GARAN,TÜRKİYE GARANTİ BANKASI A.Ş.,İSTANBUL,TRAGARAN91N1
GARFA,GARANTİ FAKTORİNG A.Ş.,İSTANBUL,TRAAKFIN91P6
GATEG,GATE GROUP TEKNOLOJİ MEDYA VE SİBER GÜVENLİK HİZMETLERİ A.Ş.,İSTANBUL,TRESNKR00023
GEDIK,GEDİK YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL,TREGDKM00012
GEDZA,GEDİZ AMBALAJ SANAYİ VE TİCARET A.Ş.,KÜTAHYA,TREGDZA00015
GENIL,GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.,ANKARA,TREGENL00024
GENKM,GENTAŞ KİMYA SANAYİ VE TİCARET PAZARLAMA A.Ş.,KOCAELİ,TREGNTK00016
GENTS,GENTAŞ DEKORATİF YÜZEYLER SANAYİ VE TİCARET A.Ş.,BOLU,TRAGENTS91C4
GEREL,GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.,İSTANBUL,TREGREL00017
GESAN,GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş.,ANKARA,TREGESN00029
GIPTA,GIPTA OFİS KIRTASİYE VE PROMOSYON ÜRÜNLERİ İMALAT SANAYİ A.Ş.,ANKARA,TREGPTA00038
GLBMD,GLOBAL MENKUL DEĞERLER A.Ş.,İSTANBUL,TREGLMK00015
GLCVY,GELECEK VARLIK YÖNETİMİ A.Ş.,İSTANBUL,TREGVYO00011
GLRMK,GÜLERMAK AĞIR SANAYİ İNŞAAT VE TAAHHÜT A.Ş.,ANKARA,TREGLRM00010
GLRYH,GÜLER YATIRIM HOLDİNG A.Ş.,İSTANBUL,TREBSKY00016
